Country or territory,Population (1 July 2022),Population (1 July 2023),Change (%),UN continental region[1],UN statistical subregion[1]
Denmark,5902904.0,5948136.0,+0.77%,Europe,Northern Europe
Singapore,5649885.0,5789090.0,+2.46%,Asia,South-eastern Asia
Lebanon,5744489.0,5733493.0,−0.19%,Asia,Western Asia
Finland[m],5569299.0,5601185.0,+0.57%,Europe,Northern Europe
Norway[n],5457801.0,5519167.0,+1.12%,Europe,Northern Europe
Slovakia,5473197.0,5518055.0,+0.82%,Europe,Eastern Europe
Liberia,5373294.0,5493031.0,+2.23%,Africa,Western Africa
Palestine[o],5305270.0,5409202.0,+1.96%,Asia,Western Asia
Ireland,5110016.0,5196630.0,+1.69%,Europe,Northern Europe
New Zealand,5131734.0,5172836.0,+0.80%,Oceania,Australia and New Zealand
Central African Republic,5098039.0,5152421.0,+1.07%,Africa,Middle Africa
Costa Rica,5081765.0,5105525.0,+0.47%,Americas,Central America
Oman,4730226.0,5049269.0,+6.74%,Asia,Western Asia
Mauritania,4875637.0,5022441.0,+3.01%,Africa,Western Africa
Kuwait,4589511.0,4838782.0,+5.43%,Asia,Western Asia
Panama,4400773.0,4458759.0,+1.32%,Americas,Central America
Croatia,3907027.0,3896023.0,−0.28%,Europe,Southern Europe
Georgia[p],3794784.0,3807492.0,+0.33%,Asia,Western Asia
Eritrea,3409447.0,3470390.0,+1.79%,Africa,Eastern Africa
Mongolia,3386015.0,3431932.0,+1.36%,Asia,Eastern Asia
Uruguay,3390913.0,3388081.0,−0.08%,Americas,South America
Puerto Rico (United States),3240968.0,3242023.0,+0.03%,Americas,Caribbean
Bosnia and Herzegovina,3204802.0,3185073.0,−0.62%,Europe,Southern Europe
Moldova[q],3039985.0,3067070.0,+0.89%,Europe,Eastern Europe
Qatar,2892455.0,2979082.0,+2.99%,Asia,Western Asia
Namibia,2889662.0,2963095.0,+2.54%,Africa,Southern Africa
Armenia,2880874.0,2943393.0,+2.17%,Asia,Western Asia
Lithuania,2816919.0,2854099.0,+1.32%,Europe,Northern Europe
Jamaica,2839144.0,2839786.0,+0.02%,Americas,Caribbean
Albania,2827608.0,2811655.0,−0.56%,Europe,Southern Europe
Gambia,2636470.0,2697845.0,+2.33%,Africa,Western Africa
Gabon,2430747.0,2484789.0,+2.22%,Africa,Middle Africa
Botswana,2439892.0,2480244.0,+1.65%,Africa,Southern Africa
Lesotho,2286110.0,2311472.0,+1.11%,Africa,Southern Africa
Guinea-Bissau,2105529.0,2153339.0,+2.27%,Africa,Western Africa
Slovenia,2115228.0,2118396.0,+0.15%,Europe,Southern Europe
